[2024-03-18 08:12:16] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:17] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:17] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:17] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:17] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:18] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:18] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:18] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:18] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:18] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:18] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:19] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:19] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:19] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:19] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:19] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:19] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:19] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:20] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:20] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:21] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:21] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:21] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:12:21] Collection: ObservableCollection`1, Change: Add
