[2024-03-18 08:13:18] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:19] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:19] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:19] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:19] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:20] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:20] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:20] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:20] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:20] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:20] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:20] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:20] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:20] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:21] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:21] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:21] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:21] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:21] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:21] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:21] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:21] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:22] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:22] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:22] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:22] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:22] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:22] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:23] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:23] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:23] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:23] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:23] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:23] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:23] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:24] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:24] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:24] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:24] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:24] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:24] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:25] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:25] Collection: ObservableCollection`1, Change: Add
[2024-03-18 08:13:25] Collection: ObservableCollection`1, Change: Add
